model,name.huggingface,n_params.as_str,n_params.as_int,cfg.n_params,cfg.n_layers,cfg.n_heads,cfg.d_model,cfg.d_vocab,cfg.act_fn,cfg.positional_embedding_type,cfg.parallel_attn_mlp,cfg.original_architecture,cfg.normalization_type,tokenizer.name,tokenizer.class,tokenizer.vocab_size,tokenizer.vocab_hash,model_family,model_size
gpt2-small,gpt2,85M,84934656,84934656,12,12,768,50257,gelu_new,standard,False,GPT2LMHeadModel,LN,gpt2,GPT2TokenizerFast,50257.0,v8xfIj5kwZX5RwgLU66lZNZUlE4=,gpt2,0.085
gpt2-medium,gpt2-medium,302M,301989888,301989888,24,16,1024,50257,gelu_new,standard,False,GPT2LMHeadModel,LN,gpt2-medium,GPT2TokenizerFast,50257.0,v8xfIj5kwZX5RwgLU66lZNZUlE4=,gpt2,0.302
gpt2-large,gpt2-large,708M,707788800,707788800,36,20,1280,50257,gelu_new,standard,False,GPT2LMHeadModel,LN,gpt2-large,GPT2TokenizerFast,50257.0,v8xfIj5kwZX5RwgLU66lZNZUlE4=,gpt2,0.708
gpt2-xl,gpt2-xl,1.5B,1474560000,1474560000,48,25,1600,50257,gelu_new,standard,False,GPT2LMHeadModel,LN,gpt2-xl,GPT2TokenizerFast,50257.0,v8xfIj5kwZX5RwgLU66lZNZUlE4=,gpt2,1.5
opt-125m,facebook/opt-125m,85M,84934656,84934656,12,12,768,50272,relu,standard,False,OPTForCausalLM,LN,facebook/opt-125m,GPT2TokenizerFast,50265.0,f1FIzqnRiMYzke1CU0hp8TDxq7k=,opt,0.085
opt-1.3b,facebook/opt-1.3b,1.2B,1207959552,1207959552,24,32,2048,50272,relu,standard,False,OPTForCausalLM,LN,facebook/opt-1.3b,GPT2TokenizerFast,50265.0,f1FIzqnRiMYzke1CU0hp8TDxq7k=,opt,1.2
opt-2.7b,facebook/opt-2.7b,2.5B,2516582400,2516582400,32,32,2560,50272,relu,standard,False,OPTForCausalLM,LN,facebook/opt-2.7b,GPT2TokenizerFast,50265.0,f1FIzqnRiMYzke1CU0hp8TDxq7k=,opt,2.5
opt-6.7b,facebook/opt-6.7b,6.4B,6442450944,6442450944,32,32,4096,50272,relu,standard,False,OPTForCausalLM,LN,facebook/opt-6.7b,GPT2TokenizerFast,50265.0,f1FIzqnRiMYzke1CU0hp8TDxq7k=,opt,6.4
opt-13b,facebook/opt-13b,13B,12582912000,12582912000,40,40,5120,50272,relu,standard,False,OPTForCausalLM,LN,facebook/opt-13b,GPT2TokenizerFast,50265.0,f1FIzqnRiMYzke1CU0hp8TDxq7k=,opt,13.0
opt-30b,facebook/opt-30b,30B,29595009024,29595009024,48,56,7168,50272,relu,standard,False,OPTForCausalLM,LN,facebook/opt-30b,GPT2TokenizerFast,50265.0,f1FIzqnRiMYzke1CU0hp8TDxq7k=,opt,30.0
opt-66b,facebook/opt-66b,65B,65229815808,65229815808,64,72,9216,50272,relu,standard,False,OPTForCausalLM,LN,facebook/opt-66b,GPT2TokenizerFast,50265.0,f1FIzqnRiMYzke1CU0hp8TDxq7k=,opt,65.0
pythia-14m,EleutherAI/pythia-14m,1.2M,1179648,1179648,6,4,128,50304,gelu,rotary,True,GPTNeoXForCausalLM,LN,EleutherAI/pythia-14m,GPTNeoXTokenizerFast,50254.0,96EawM8Lij99W7OBTk0KW2ELUrQ=,pythia,0.0012
